STATION,LINENAME,PM_ENTERS,PM_EXITS
96 ST,6,22489.0,5641.0
96 ST,BC,8905.0,7482.0
96 ST-2 AVE,Q,18646.0,12031.0
9TH STREET,1,4815.0,5176.0
ALABAMA AV,J,2276.0,2254.0
ALLERTON AV,25,5130.0,2435.0
AQUEDUCT N.COND,A,596.0,2098.0
AQUEDUCT RACETR,A,1677.0,190.0
ASTOR PL,6,17285.0,17140.0
ASTORIA BLVD,NQW,9142.0,6430.0
ASTORIA DITMARS,NQW,11906.0,5831.0
ATL AV-BARCLAY,2345BDNQR,16463.0,16044.0
ATL AV-BARCLAY,BDNQR2345,18579.0,17727.0
ATLANTIC AV,L,1487.0,585.0
AVENUE H,BQ,4138.0,2427.0
AVENUE I,F,2677.0,732.0
AVENUE J,BQ,6122.0,2583.0
AVENUE M,BQ,6537.0,2125.0
AVENUE N,F,2141.0,870.0
AVENUE P,F,1780.0,648.0
AVENUE U,BQ,6739.0,3212.0
AVENUE U,F,1680.0,908.0
AVENUE U,N,1278.0,734.0
AVENUE X,F,2236.0,1469.0
B'WAY-LAFAYETTE,BDFQ6,23714.0,32224.0
BAY 50 ST,D,2607.0,452.0
BAY PKWY,D,7185.0,7057.0
BAY PKWY,F,1198.0,370.0
BAY PKWY,N,5252.0,1761.0
BAY RIDGE AV,R,6880.0,2972.0
BAY RIDGE-95 ST,R,4407.0,2392.0
BAYCHESTER AV,5,3703.0,504.0
BEACH 105 ST,AS,288.0,183.0
BEACH 25 ST,A,1794.0,1081.0
BEACH 36 ST,A,778.0,582.0
BEACH 44 ST,A,604.0,472.0
BEACH 60 ST,A,1705.0,1138.0
BEACH 67 ST,A,1856.0,1247.0
BEACH 90 ST,AS,626.0,681.0
BEACH 98 ST,AS,600.0,421.0
BEDFORD AV,L,21886.0,20803.0
BEDFORD PK BLVD,4,5352.0,3396.0
BEDFORD PK BLVD,BD,6698.0,3297.0
BEDFORD-NOSTRAN,G,7640.0,2903.0
BERGEN ST,23,2965.0,2161.0
BERGEN ST,FG,11304.0,7217.0
BEVERLEY ROAD,BQ,2667.0,1612.0
BEVERLY RD,25,3704.0,695.0
BLEECKER ST,6DF,11982.0,5451.0
BOROUGH HALL,2345R,39754.0,22541.0
BOROUGH HALL,R2345,2738.0,1453.0
BOTANIC GARDEN,S2345,1283.0,1992.0
BOWERY,JZ,2823.0,4228.0
BOWLING GREEN,45,20069.0,18301.0
BRIARWOOD,EF,4988.0,1576.0
BRIGHTON BEACH,BQ,14322.0,6780.0
BROAD CHANNEL,AS,194.0,94.0
BROAD ST,JZ,7435.0,1951.0
BROADWAY,G,4653.0,3310.0
BROADWAY JCT,ACJLZ,7839.0,6437.0
BRONX PARK EAST,25,2536.0,1081.0
BROOK AV,6,7311.0,5562.0
BROOKLYN BRIDGE,456JZ,21366.0,16825.0
BUHRE AV,6,2872.0,3162.0
BURKE AV,25,2770.0,1428.0
BURNSIDE AV,4,3060938.0,6068609.0
BUSHWICK AV,L,1878.0,882.0
CANAL ST,1,7002.0,5602.0
CANAL ST,ACE,16627.0,17139.0
CANAL ST,JNQRZ6W,55371.0,35343.0
CANARSIE-ROCKAW,L,9087.0,2455.0
CARROLL ST,FG,8800.0,4461.0
CASTLE HILL AV,6,6412.0,4589.0
CATHEDRAL PKWY,1,14394.0,6822.0
CATHEDRAL PKWY,BC,6426.0,2642.0
CENTRAL AV,M,3465.0,2751.0
CENTRAL PK N110,23,7702.0,5868.0
CHAMBERS ST,123,21031.0,17929.0
CHAMBERS ST,ACE23,27050.0,16564.0
CHAMBERS ST,JZ456,13752.0,14067.0
CHAUNCEY ST,JZ,3064.0,1452.0
CHRISTOPHER ST,1,14921.0,11011.0
CHURCH AV,25,9459.0,2172.0
CHURCH AV,BQ,14511.0,12033.0
CHURCH AV,FG,8130.0,5154.0
CITY / BUS,1,9334.0,17619.0
CITY HALL,NRW,7073.0,3487.0
CLARK ST,23,4929.0,2495.0
CLASSON AV,G,4820.0,3447.0
CLEVELAND ST,J,2501.0,3418.0
CLINTON-WASH AV,C,5722.0,3996.0
CLINTON-WASH AV,G,5602.0,710.0
CONEY IS-STILLW,DFNQ,12497.0,11359.0
CORTELYOU RD,BQ,5159.0,2049.0
CORTLANDT ST,RNW,19702.0,13246.0
COURT SQ,7,3513.0,3574.0
COURT SQ,EMG,11642.0,9852.0
COURT SQ-23 ST,EMG,5589.0,1590.0
CRESCENT ST,JZ,3572.0,5345.0
CROWN HTS-UTICA,34,21823.0,14005.0
CYPRESS AV,6,4164.0,2317.0
CYPRESS HILLS,J,1085.0,735.0
DEKALB AV,BDNQR,20905.0,7888.0
DEKALB AV,L,9863.0,2492.0
DELANCEY/ESSEX,FJMZ,28235.0,17522.0
DITMAS AV,F,3628.0,1637.0
DYCKMAN ST,1,7293.0,2824.0
DYCKMAN ST,A,6530.0,206.0
E 143/ST MARY'S,6,1617.0,1072.0
E 149 ST,6,5179.0,4458.0
E 180 ST,25,6190.0,5827.0
EAST 105 ST,L,3160.0,3073.0
EAST BROADWAY,F,13942.0,5603.0
EASTCHSTER/DYRE,5,3463.0,4290.0
EASTN PKWY-MUSM,23,3781.0,3094.0
ELDER AV,6,5893.0,5284.0
ELMHURST AV,MR,296460133.0,1940778205.0
EUCLID AV,AC,9538.0,2686.0
EXCHANGE PLACE,1,17355.0,11887.0
FAR ROCKAWAY,A,3784.0,3219.0
FLATBUSH AV-B.C,25,20839.0,12979.0
FLUSHING AV,G,3389.0,2776.0
FLUSHING AV,JM,10239.0,4790.0
FLUSHING-MAIN,7,46577.0,34592.0
FORDHAM RD,4,10547.0,1958.0
FORDHAM RD,BD,10143.0,4241.0
FOREST AVE,M,3150.0,2677.0
FOREST HILLS 71,EFMR,24103.0,14382.0
FRANKLIN AV,2345S,14126.0,5649.0
FRANKLIN AV,ACS,6058.0,6578.0
FRANKLIN ST,1,7480.0,4473.0
FREEMAN ST,25,4562.0,3222.0
FRESH POND RD,M,4228.0,5465.0
FT HAMILTON PKY,D,4389.0,2893.0
FT HAMILTON PKY,FG,4922.0,2083.0
FT HAMILTON PKY,N,2145.0,416.0
FULTON ST,2345ACJZ,86028.0,48902.0
FULTON ST,ACJZ2345,39277.0,16351.0
FULTON ST,G,5684.0,3813.0
GATES AV,JZ,7260.0,2424.0
GRAHAM AV,L,8121.0,4522.0
GRAND ARMY PLAZ,23,6225.0,2398.0
GRAND ST,BD,24197.0,17960.0
GRAND ST,L,6280.0,4356.0
GRAND-NEWTOWN,MR,15397.0,8075.0
GRANT AV,A,5241.0,3883.0
GRD CNTRL-42 ST,4567S,150373.0,128449.0
GREENPOINT AV,G,7826.0,5714.0
GROVE STREET,1,12644.0,19132.0
GUN HILL RD,25,7762.0,7369.0
GUN HILL RD,5,4425.0,1164.0
HALSEY ST,J,5956.0,2283.0
HALSEY ST,L,8944.0,2904.0
HARLEM 148 ST,3,4535.0,3474.0
HARRISON,1,3631.0,10328.0
HEWES ST,JM,2891.0,1269.0
HIGH ST,AC,8389.0,10522.0
HOUSTON ST,1,18170.0,9289.0
HOWARD BCH JFK,A,3535.0,6195.0
HOYT ST,23,8111.0,6766.0
HOYT-SCHER,ACG,11437.0,9335.0
HUNTERS PT AV,7,4873.0,3895.0
HUNTS POINT AV,6,10649.0,9139.0
INTERVALE AV,25,3964.0,3602.0
INWOOD-207 ST,A,8164.0,3854.0
JACKSON AV,25,6470.0,1165.0
JAMAICA 179 ST,F,14509.0,6132.0
JAMAICA CENTER,EJZ,30805.0,24761.0
JAMAICA VAN WK,E,4658.0,4819.0
JAY ST-METROTEC,ACF,44998.0,23313.0
JAY ST-METROTEC,R,4141.0,3586.0
JEFFERSON ST,L,6053.0,1243.0
JFK JAMAICA CT1,E,15363.0,9532.0
JKSN HT-ROOSVLT,EFMR7,43639.0,29656.0
JOURNAL SQUARE,1,19360.0,31175.0
JUNCTION BLVD,7,15503.0,11153.0
JUNIUS ST,3,2012.0,1916.0
KEW GARDENS,EF,26251.0,35751.0
KINGS HWY,BQ,16751.0,13208.0
KINGS HWY,F,3767.0,3904.0
KINGS HWY,N,2062.0,2044.0
KINGSBRIDGE RD,4,10498.0,4753.0
KINGSBRIDGE RD,BD,7352.0,5445.0
KINGSTON AV,3,5011.0,2963.0
KINGSTON-THROOP,C,6265.0,3653.0
KNICKERBOCKER,M,4379.0,4290.0
KOSCIUSZKO ST,J,5391.0,1525.0
LACKAWANNA,1,4288.0,14562.0
LAFAYETTE AV,C,5904.0,2241.0
LEXINGTON AV/53,EM6,34984.0,33534.0
LEXINGTON AV/63,F,20177.0,24945.0
LIBERTY AV,C,3109.0,1348.0
LIVONIA AV,L,2862.0,2573.0
LONGWOOD AV,6,3437.0,2493.0
LORIMER ST,JM,3717.0,3003.0
LORIMER ST,LG,4203.0,1122.0
MARBLE HILL-225,1,5326.0,1070.0
MARCY AV,JMZ,13247.0,4509.0
METROPOLITAN AV,GL,7733.0,3714.0
METROPOLITAN AV,M,2723.0,2614.0
METS-WILLETS PT,7,2479.0,2376.0
MIDDLETOWN RD,6,1970.0,1843.0
MONTROSE AV,L,5707.0,2688.0
MORGAN AV,L,6276.0,2911.0
