STATION,LINENAME,AM_ENTERS,AM_EXITS
9TH STREET,1,1100.0,3643.0
ALABAMA AV,J,1999.0,1922.0
ALLERTON AV,25,8600.0,852.0
AQUEDUCT N.COND,A,2137.0,308.0
AQUEDUCT RACETR,A,589.0,27.0
ASTOR PL,6,6835.0,6425.0
ASTORIA BLVD,NQW,5115.0,1111.0
ASTORIA DITMARS,NQW,13218.0,1005.0
ATL AV-BARCLAY,2345BDNQR,5170.0,2427.0
ATL AV-BARCLAY,BDNQR2345,3891.0,2809.0
ATLANTIC AV,L,897.0,376.0
AVENUE H,BQ,1368.0,258.0
AVENUE I,F,1630.0,500.0
AVENUE J,BQ,4610.0,1118.0
AVENUE M,BQ,4135.0,1302.0
AVENUE N,F,3688.0,343.0
AVENUE P,F,2699.0,210.0
AVENUE U,BQ,10145.0,735.0
AVENUE U,F,2936.0,390.0
AVENUE U,N,3142.0,139.0
AVENUE X,F,2047.0,321.0
B'WAY-LAFAYETTE,BDFQ6,2224.0,12377.0
BAY 50 ST,D,4519.0,306.0
BAY PKWY,D,11701.0,1502.0
BAY PKWY,F,1440.0,265.0
BAY PKWY,N,11490.0,129.0
BAY RIDGE AV,R,4264.0,398.0
BAY RIDGE-95 ST,R,3833.0,442.0
BAYCHESTER AV,5,6655.0,312.0
BEACH 105 ST,AS,515.0,152.0
BEACH 25 ST,A,2224.0,375.0
BEACH 36 ST,A,1124.0,135.0
BEACH 44 ST,A,783.0,366.0
BEACH 60 ST,A,2526.0,303.0
BEACH 67 ST,A,2438.0,384.0
BEACH 90 ST,AS,1930.0,184.0
BEACH 98 ST,AS,934.0,302.0
BEDFORD AV,L,8934.0,6927.0
BEDFORD PK BLVD,4,3550.0,1016.0
BEDFORD PK BLVD,BD,10584.0,1327.0
BEDFORD-NOSTRAN,G,3008.0,497.0
BERGEN ST,23,703.0,461.0
BERGEN ST,FG,6602.0,3242.0
BEVERLEY ROAD,BQ,1836.0,248.0
BEVERLY RD,25,5279.0,212.0
BLEECKER ST,6DF,4017.0,2086.0
BOROUGH HALL,2345R,4396.0,7258.0
BOROUGH HALL,R2345,261.0,219.0
BOTANIC GARDEN,S2345,787.0,1121.0
BOWERY,JZ,354.0,1023.0
BOWLING GREEN,45,4398.0,6420.0
BRIARWOOD,EF,3372.0,447.0
BRIGHTON BEACH,BQ,6065.0,689.0
BROAD CHANNEL,AS,832.0,52.0
BROAD ST,JZ,841.0,2089.0
BROADWAY,G,4180.0,1875.0
BROADWAY JCT,ACJLZ,5493.0,2685.0
BRONX PARK EAST,25,4699.0,581.0
BROOK AV,6,7403.0,3375.0
BROOKLYN BRIDGE,456JZ,1195.0,5182.0
BUHRE AV,6,8120.0,933.0
