STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
170 ST,4,6253.0,1168.0,6606.0,4520.0
170 ST,BD,14841.0,1884.0,10996.0,4498.0
174 ST,25,9148.0,3042.0,8002.0,6825.0
175 ST,A,6414.0,792.0,10722.0,4876.0
176 ST,4,4569.0,686.0,4873.0,2318.0
18 AV,D,4439.0,231.0,4856.0,1192.0
18 AV,F,2050.0,315.0,3336.0,2601.0
18 AV,N,4645.0,278.0,2199.0,1164.0
18 ST,1,450.0,798.0,9011.0,5735.0
181 ST,1,8161.0,3041.0,12113.0,10936.0
181 ST,A,12955.0,1696.0,10408.0,8287.0
182-183 STS,BD,4110.0,263.0,4341.0,1307.0
183 ST,4,5303.0,486.0,5172.0,2449.0
190 ST,A,1988.0,212.0,3883.0,1367.0
191 ST,1,4279.0,945.0,7865.0,6563.0
2 AV,F,2035.0,2595.0,13303.0,13619.0
20 AV,D,3906.0,112.0,3761.0,1069.0
20 AV,N,6406.0,300.0,2673.0,712.0
207 ST,1,2849.0,769.0,6138.0,2644.0
21 ST,G,604.0,2018.0,1523.0,1413.0
21 ST-QNSBRIDGE,F,3780.0,2624.0,10280.0,5446.0
215 ST,1,537.0,146.0,2047.0,791.0
219 ST,25,6311.0,692.0,2889.0,1644.0
225 ST,25,7256.0,820.0,3766.0,2088.0
23 ST,1,3506.0,6500.0,19968.0,13802.0
23 ST,6,9542.0,18803.0,47287.0,34461.0
23 ST,CE,5125.0,5958.0,23533.0,16816.0
23 ST,NRW,982.0,2788.0,26817.0,15705.0
231 ST,1,7200.0,186.0,10279.0,1041.0
233 ST,25,8633.0,569.0,4357.0,1476.0
238 ST,1,1247.0,54.0,823.0,386.0
25 AV,D,8719.0,312.0,4554.0,1245.0
25 ST,R,881.0,759.0,2191.0,1933.0
28 ST,1,1895.0,4404.0,15362.0,8965.0
28 ST,NRW,623.0,3079.0,14228.0,15888.0
3 AV,L,332.0,1632.0,5337.0,6101.0
3 AV 138 ST,6,9580.0,2544.0,8158.0,5313.0
3 AV-149 ST,25,12050.0,1581.0,24805.0,8624.0
30 AV,NQW,6376.0,1530.0,11757.0,5994.0
33 ST,6,10872.0,18249.0,42650.0,27351.0
33 ST-RAWSON ST,7,1242.0,3821.0,14237.0,6212.0
34 ST-HERALD SQ,BDFMNQRW,14027.0,21487.0,103939.0,110321.0
34 ST-HUDSON YD,7,1988.0,14959.0,11823.0,11472.0
34 ST-PENN STA,123,14186.0,5513.0,23471.0,31071.0
34 ST-PENN STA,123ACE,77717.0,31230.0,43361.0,51968.0
34 ST-PENN STA,ACE,27239.0,17348.0,62047.0,61351.0
36 AV,NQW,3598.0,1718.0,7534.0,3956.0
36 ST,DNR,8497.0,2805.0,13141.0,6989.0
36 ST,MR,1761.0,3554.0,6584.0,3675.0
4 AV-9 ST,DFGMNR,641.0,949.0,2765.0,2937.0
40 ST LOWERY ST,7,3755.0,1641.0,8604.0,5045.0
42 ST-BRYANT PK,BDFM7,2230.0,17658.0,31546.0,37617.0
42 ST-PORT AUTH,ACENGRS1237W,6912.0,12853.0,17078.0,14005.0
42 ST-PORT AUTH,ACENQRS1237W,66484.0,23865.0,66125.0,54108.0
45 ST,R,4567.0,614.0,6321.0,3491.0
46 ST,MR,9307.0,3049.0,7287.0,6262.0
46 ST BLISS ST,7,6854.0,1849.0,9612.0,6694.0
47-50 STS ROCK,BDFM,1975.0,22510.0,45250.0,56593.0
49 ST,NQRW,1351.0,6840.0,18695.0,17495.0
4AV-9 ST,DFGMNR,1786.0,1789.0,6955.0,5299.0
5 AV/53 ST,EM,2646.0,64187.0,48129.0,22642.0
5 AV/59 ST,NQRW,2796.0,18810.0,29041.0,11838.0
5 AVE,7BDFM,433.0,3440.0,9891.0,10282.0
50 ST,1,1306.0,7194.0,20385.0,20640.0
50 ST,CE,3401.0,6467.0,17519.0,11554.0
50 ST,D,1111.0,597.0,3364.0,2560.0
51 ST,6,1081.0,7263.0,19535.0,20473.0
52 ST,7,5310.0,991.0,3328.0,3569.0
53 ST,R,4961.0,1804.0,7614.0,7233.0
55 ST,D,826.0,112.0,2624.0,1084.0
