STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
TOMPKINSVILLE,1,876.0,0.0,1191.0,0.0
TREMONT AV,BD,18427.0,3098.0,11129.0,6203.0
TWENTY THIRD ST,1,1137.0,8372.0,9106.0,5060.0
UNION ST,R,1298.0,1320.0,5151.0,4190.0
UTICA AV,AC,16992.0,4222.0,14769.0,11402.0
V.CORTLANDT PK,1,7117.0,566.0,7145.0,1968.0
VAN SICLEN AV,3,2674.0,333.0,2391.0,2043.0
VAN SICLEN AV,JZ,4576.0,786.0,2368.0,3163.0
VAN SICLEN AVE,C,5159.0,894.0,3193.0,3155.0
VERNON-JACKSON,7,3308.0,2501.0,11025.0,7360.0
W 4 ST-WASH SQ,ABCDEFM,12034.0,21305.0,38335.0,38425.0
W 8 ST-AQUARIUM,FQ,904.0,182.0,2340.0,1778.0
WAKEFIELD/241,2,8341.0,2826.0,4300.0,4792.0
WALL ST,23,1206.0,5688.0,17018.0,14782.0
WALL ST,45,9921.0,24004.0,28760.0,11259.0
WEST FARMS SQ,25,8091.0,2180.0,7569.0,4172.0
WESTCHESTER SQ,6,3729.0,1515.0,6108.0,4459.0
WHITEHALL S-FRY,R1W,8719.0,8467.0,15565.0,12808.0
WHITLOCK AV,6,1488.0,563.0,1505.0,1174.0
WILSON AV,L,2132.0,349.0,4055.0,2486.0
WINTHROP ST,25,6884.0,887.0,8316.0,1283.0
WOODHAVEN BLVD,JZ,3887.0,579.0,3648.0,1711.0
WOODHAVEN BLVD,MR,25602.0,2431.0,19837.0,15177.0
WOODLAWN,4,6346.0,313.0,4975.0,1163.0
WORLD TRADE CTR,ACE23,2530.0,3438.0,13485.0,10951.0
WTC-CORTLANDT,1,3132.0,3758.0,14205.0,9083.0
YORK ST,F,4379.0,3255.0,11054.0,4976.0
ZEREGA AV,6,4350.0,1764.0,2895.0,2440.0
